Специальность;Зарплата в рублях;Ссылка
Программист;от 35 000 ;https://www.avito.ru/armavir/vakansii/programmist_2295021389
Программист;35 000 — 40 000 ;https://www.avito.ru/armavir/vakansii/programmist_2240401573
Программист;от 25 000 ;https://www.avito.ru/nizhnekamsk/vakansii/programmist_2282424128
Программист;Зарплата не указана;https://www.avito.ru/novorossiysk/vakansii/programmist_2246143107
Программист 1С;29 000 — 40 000 ;https://www.avito.ru/ufa/vakansii/programmist_1s_2245786376
Программист;20 000 — 35 000 ;https://www.avito.ru/chelyabinsk/vakansii/programmist_2260328494
Программист 1с разработчик;40 000 — 50 000 ;https://www.avito.ru/korocha/vakansii/programmist_1s_razrabotchik_2272723636
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Программист 1с введение инстаграмма;до 30 000 ;https://www.avito.ru/tyube/vakansii/programmist_1s_vvedenie_instagramma_2289892492
Инженер-программист;40 000 — 50 000 ;https://www.avito.ru/yoshkar-ola/vakansii/inzhener-programmist_2245129614
Программист;от 50 000 ;https://www.avito.ru/cherkessk/vakansii/programmist_2224192460
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Помощник программиста по поиску клиентов;от 25 000 ;https://www.avito.ru/moskva/vakansii/pomoschnik_programmista_po_poisku_klientov_2243623689
Программист;20 000 — 25 000 ;https://www.avito.ru/meleuz/vakansii/programmist_1968340243
Программист-стажёр;65 000 — 70 000 ;https://www.avito.ru/moskva/vakansii/programmist-stazher_2267898284
Программист;40 000 — 60 000 ;https://www.avito.ru/pervouralsk/vakansii/programmist_2255044210
Программист, Системный инженер (Linux);Зарплата не указана;https://www.avito.ru/amursk/vakansii/programmist_sistemnyy_inzhener_linux_2190263600
Программист;70 000 ;https://www.avito.ru/krasnodar/vakansii/programmist_2263370790
Программист JavaScript;100 000 ;https://www.avito.ru/cheboksary/vakansii/programmist_javascript_1857588625
Программист 1С;Зарплата не указана;https://www.avito.ru/orenburg/vakansii/programmist_1s_2245841178
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Программист (системный администратор);20 000 — 30 000 ;https://www.avito.ru/prohladnyy/vakansii/programmist_sistemnyy_administrator_634364821
Программист 1С;Зарплата не указана;https://www.avito.ru/ulyanovsk/vakansii/programmist_1s_2228978159
Программист 1С 8;60 000 — 120 000 ;https://www.avito.ru/naberezhnye_chelny/vakansii/programmist_1s_8_2273545570
Программист разработчик;12 000 — 25 000 ;https://www.avito.ru/omsk/vakansii/programmist_razrabotchik_2046573583
Программист-Разработчик;от 150 000 ;https://www.avito.ru/moskva/vakansii/programmist-razrabotchik_2251481938
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Программист 1с;Зарплата не указана;https://www.avito.ru/moskva/vakansii/programmist_1s_2253941692
Помощник программиста 1С;от 10 000 ;https://www.avito.ru/irkutsk/vakansii/pomoschnik_programmista_1s_2246786449
Программист 1С;от 50 000 ;https://www.avito.ru/stavropol/vakansii/programmist_1s_2282537866
Программист С#;от 90 000 ;https://www.avito.ru/izhevsk/vakansii/programmist_s_2271192857
Программист 1С;100 000 ;https://www.avito.ru/amurskaya_oblast_blagoveschensk/vakansii/programmist_1s_2095743451
Программист python;25 000 — 40 000 ;https://www.avito.ru/rostov-na-donu/vakansii/programmist_python_2266663894
Оператор-программист фрезерного станка с чпу;от 75 000 ;https://www.avito.ru/odintsovo/vakansii/operator-programmist_frezernogo_stanka_s_chpu_2264244031
Программист бизнес-приложений;74 000 ;https://www.avito.ru/petropavlovsk-kamchatskiy/vakansii/programmist_biznes-prilozheniy_2152293200
Программист/web-разработчик со знанием Wordpress;до 10 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmistweb-razrabotchik_so_znaniem_wordpress_2266548466
Программист 1с;Зарплата не указана;https://www.avito.ru/kazachinskoe/vakansii/programmist_1s_2260745134
Программист 1C ERP;80 000 — 120 000 ;https://www.avito.ru/voronezh/vakansii/programmist_1c_erp_2258424218
Программист 1С;от 80 000 ;https://www.avito.ru/yaroslavl/vakansii/programmist_1s_2235040366
Программист стажер удаленно;20 000 — 45 000 ;https://www.avito.ru/ubinskoe/vakansii/programmist_stazher_udalenno_2234865630
Программист С++;150 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_s_819935411
Инженер-программист;30 000 — 50 000 ;https://www.avito.ru/stavropol/vakansii/inzhener-programmist_1429413205
Программист;35 000 — 40 000 ;https://www.avito.ru/gulkevichi/vakansii/programmist_1984652650
Программист WordPress;20 000 — 40 000 ;https://www.avito.ru/bryansk/vakansii/programmist_wordpress_2267578700
Ищем Помощников Программиста - Админа.Обучаем;60 000 — 100 000 ;https://www.avito.ru/moskva/vakansii/ischem_pomoschnikov_programmista_-_admina.obuchaem_2246347251
Програмист IT - с переездом в Чехию;100 000 — 300 000 ;https://www.avito.ru/moskva/vakansii/programist_it_-_s_pereezdom_v_chehiyu_2261377535
Программист;40 000 — 85 000 ;https://www.avito.ru/novyy_urengoy/vakansii/programmist_2251029733
Программист-конструктор;35 000 — 40 000 ;https://www.avito.ru/yoshkar-ola/vakansii/programmist-konstruktor_2011551397
Системный администратор, программист 1С;45 000 — 55 000 ;https://www.avito.ru/ekaterinburg/vakansii/sistemnyy_administrator_programmist_1s_2262451330
Программист;от 22 000 ;https://www.avito.ru/slavgorod/vakansii/programmist_2255672799
Программист 1C / ERP (Брянск);Зарплата не указана;https://www.avito.ru/bryansk/vakansii/programmist_1c_erp_bryansk_1958440646
Программист python;100 000 — 300 000 ;https://www.avito.ru/ekaterinburg/vakansii/programmist_python_2254374259
Программист Python;1 500  в час;https://www.avito.ru/moskva/vakansii/programmist_python_2240261655
Программист;Зарплата не указана;https://www.avito.ru/angarsk/vakansii/programmist_2259711337
Программист;от 15 000 ;https://www.avito.ru/evpatoriya/vakansii/programmist_2240488701
Программист проекта;5 000 — 10 000  в неделю;https://www.avito.ru/samara/vakansii/programmist_proekta_2247283963
Программист 1С;Зарплата не указана;https://www.avito.ru/murom/vakansii/programmist_1s_1464676058
Программист;до 140 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_2252925555
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
